year,quarter_code,quarter_period,region_ar,region_en,index_value,qoq_change_pct,yoy_change_pct
2021,Q1,2021Q1,عام (المملكة),Kingdom (General),81.37,,
2021,Q1,2021Q1,الرياض,Riyadh,74.4,,
2021,Q1,2021Q1,مكة المكرمة,Makkah,86.67,,
2021,Q1,2021Q1,المدينة المنورة,Madinah,89.15,,
2021,Q1,2021Q1,القصيم,Al Qaseem,92.11,,
2021,Q1,2021Q1,المنطقة الشرقية,Eastern Province,89.34,,
2021,Q1,2021Q1,عسير,Aseer,88.47,,
2021,Q1,2021Q1,تبوك,Tabouk,91.34,,
2021,Q1,2021Q1,حائل,Hail,91.63,,
2021,Q1,2021Q1,الحدود الشمالية,Northern Borders,91.89,,
2021,Q1,2021Q1,جازان,Jazan,95.42,,
2021,Q1,2021Q1,نجران,Najran,86.49,,
2021,Q1,2021Q1,الباحة,Al Baha,114.65,,
2021,Q1,2021Q1,الجوف,Al Jouf,90.56,,
2021,Q2,2021Q2,عام (المملكة),Kingdom (General),82.06,0.8,
2021,Q2,2021Q2,الرياض,Riyadh,74.86,0.6,
2021,Q2,2021Q2,مكة المكرمة,Makkah,86.7,0.0,
2021,Q2,2021Q2,المدينة المنورة,Madinah,88.45,-0.8,
2021,Q2,2021Q2,القصيم,Al Qaseem,88.16,-4.3,
2021,Q2,2021Q2,المنطقة الشرقية,Eastern Province,92.74,3.8,
2021,Q2,2021Q2,عسير,Aseer,89.27,0.9,
2021,Q2,2021Q2,تبوك,Tabouk,89.6,-1.9,
2021,Q2,2021Q2,حائل,Hail,91.39,-0.3,
2021,Q2,2021Q2,الحدود الشمالية,Northern Borders,90.41,-1.6,
2021,Q2,2021Q2,جازان,Jazan,98.03,2.7,
2021,Q2,2021Q2,نجران,Najran,86.58,0.1,
2021,Q2,2021Q2,الباحة,Al Baha,123.54,7.8,
2021,Q2,2021Q2,الجوف,Al Jouf,94.63,4.5,
2021,Q3,2021Q3,عام (المملكة),Kingdom (General),86.2,5.0,
2021,Q3,2021Q3,الرياض,Riyadh,79.61,6.3,
2021,Q3,2021Q3,مكة المكرمة,Makkah,89.05,2.7,
2021,Q3,2021Q3,المدينة المنورة,Madinah,92.99,5.1,
2021,Q3,2021Q3,القصيم,Al Qaseem,90.61,2.8,
2021,Q3,2021Q3,المنطقة الشرقية,Eastern Province,98.43,6.1,
2021,Q3,2021Q3,عسير,Aseer,93.79,5.1,
2021,Q3,2021Q3,تبوك,Tabouk,91.38,2.0,
2021,Q3,2021Q3,حائل,Hail,95.54,4.5,
2021,Q3,2021Q3,الحدود الشمالية,Northern Borders,91.33,1.0,
2021,Q3,2021Q3,جازان,Jazan,94.51,-3.6,
2021,Q3,2021Q3,نجران,Najran,89.2,3.0,
2021,Q3,2021Q3,الباحة,Al Baha,111.57,-9.7,
2021,Q3,2021Q3,الجوف,Al Jouf,98.28,3.9,
2021,Q4,2021Q4,عام (المملكة),Kingdom (General),89.15,3.4,
2021,Q4,2021Q4,الرياض,Riyadh,84.29,5.9,
2021,Q4,2021Q4,مكة المكرمة,Makkah,90.56,1.7,
2021,Q4,2021Q4,المدينة المنورة,Madinah,95.67,2.9,
2021,Q4,2021Q4,القصيم,Al Qaseem,91.84,1.4,
2021,Q4,2021Q4,المنطقة الشرقية,Eastern Province,98.85,0.4,
2021,Q4,2021Q4,عسير,Aseer,94.15,0.4,
2021,Q4,2021Q4,تبوك,Tabouk,90.1,-1.4,
2021,Q4,2021Q4,حائل,Hail,97.27,1.8,
2021,Q4,2021Q4,الحدود الشمالية,Northern Borders,92.42,1.2,
2021,Q4,2021Q4,جازان,Jazan,95.67,1.2,
2021,Q4,2021Q4,نجران,Najran,88.1,-1.2,
2021,Q4,2021Q4,الباحة,Al Baha,114.85,2.9,
2021,Q4,2021Q4,الجوف,Al Jouf,97.88,-0.4,
2022,Q1,2022Q1,عام (المملكة),Kingdom (General),91.29,2.4,12.2
2022,Q1,2022Q1,الرياض,Riyadh,87.52,3.8,17.6
2022,Q1,2022Q1,مكة المكرمة,Makkah,92.53,2.2,6.8
2022,Q1,2022Q1,المدينة المنورة,Madinah,95.94,0.3,7.6
2022,Q1,2022Q1,القصيم,Al Qaseem,95.7,4.2,3.9
2022,Q1,2022Q1,المنطقة الشرقية,Eastern Province,98.87,0.0,10.7
2022,Q1,2022Q1,عسير,Aseer,94.93,0.8,7.3
2022,Q1,2022Q1,تبوك,Tabouk,90.11,0.0,-1.3
2022,Q1,2022Q1,حائل,Hail,96.27,-1.0,5.1
2022,Q1,2022Q1,الحدود الشمالية,Northern Borders,98.22,6.3,6.9
2022,Q1,2022Q1,جازان,Jazan,93.61,-2.2,-1.9
2022,Q1,2022Q1,نجران,Najran,85.64,-2.8,-1.0
2022,Q1,2022Q1,الباحة,Al Baha,104.55,-9.0,-8.8
2022,Q1,2022Q1,الجوف,Al Jouf,91.82,-6.2,1.4
2022,Q2,2022Q2,عام (المملكة),Kingdom (General),95.56,4.7,16.5
2022,Q2,2022Q2,الرياض,Riyadh,91.89,5.0,22.7
2022,Q2,2022Q2,مكة المكرمة,Makkah,96.61,4.4,11.4
