year,quarter_code,quarter_period,category_ar,category_en,index_value,qoq_change_pct,yoy_change_pct
2021,Q1,2021Q1,عام,General,81.37,,
2021,Q1,2021Q1,إجمالي السكني,Total Residential,80.78,,
2021,Q1,2021Q1,قطعة أرض سكنية,Residential Plot,80.6,,
2021,Q1,2021Q1,فيلا,Villa,77.25,,
2021,Q1,2021Q1,شقة,Apartment,82.74,,
2021,Q1,2021Q1,دور,Floor,94.27,,
2021,Q1,2021Q1,إجمالي التجاري,Total Commercial,82.86,,
2021,Q1,2021Q1,قطعة أرض تجارية,Commercial Plot,82.84,,
2021,Q1,2021Q1,عمارة,Building,80.1,,
2021,Q1,2021Q1,معرض / محل,Gallery/Shop,94.83,,
2021,Q1,2021Q1,إجمالي الزراعي,Total Agricultural,84.39,,
2021,Q1,2021Q1,أرض زراعية,Agricultural Land,84.39,,
2021,Q2,2021Q2,عام,General,82.06,0.8,
2021,Q2,2021Q2,إجمالي السكني,Total Residential,82.36,2.0,
2021,Q2,2021Q2,قطعة أرض سكنية,Residential Plot,83.61,3.7,
2021,Q2,2021Q2,فيلا,Villa,75.42,-2.4,
2021,Q2,2021Q2,شقة,Apartment,82.92,0.2,
2021,Q2,2021Q2,دور,Floor,90.17,-4.3,
2021,Q2,2021Q2,إجمالي التجاري,Total Commercial,80.87,-2.4,
2021,Q2,2021Q2,قطعة أرض تجارية,Commercial Plot,80.67,-2.6,
2021,Q2,2021Q2,عمارة,Building,79.46,-0.8,
2021,Q2,2021Q2,معرض / محل,Gallery/Shop,95.04,0.2,
2021,Q2,2021Q2,إجمالي الزراعي,Total Agricultural,87.19,3.3,
2021,Q2,2021Q2,أرض زراعية,Agricultural Land,87.19,3.3,
2021,Q3,2021Q3,عام,General,86.2,5.0,
2021,Q3,2021Q3,إجمالي السكني,Total Residential,86.25,4.7,
2021,Q3,2021Q3,قطعة أرض سكنية,Residential Plot,87.86,5.1,
2021,Q3,2021Q3,فيلا,Villa,81.17,7.6,
2021,Q3,2021Q3,شقة,Apartment,84.76,2.2,
2021,Q3,2021Q3,دور,Floor,89.35,-0.9,
2021,Q3,2021Q3,إجمالي التجاري,Total Commercial,85.97,6.3,
2021,Q3,2021Q3,قطعة أرض تجارية,Commercial Plot,86.07,6.7,
2021,Q3,2021Q3,عمارة,Building,82.6,4.0,
2021,Q3,2021Q3,معرض / محل,Gallery/Shop,94.76,-0.3,
2021,Q3,2021Q3,إجمالي الزراعي,Total Agricultural,87.46,0.3,
2021,Q3,2021Q3,أرض زراعية,Agricultural Land,87.46,0.3,
2021,Q4,2021Q4,عام,General,89.15,3.4,
2021,Q4,2021Q4,إجمالي السكني,Total Residential,89.51,3.8,
2021,Q4,2021Q4,قطعة أرض سكنية,Residential Plot,91.02,3.6,
2021,Q4,2021Q4,فيلا,Villa,84.14,3.7,
2021,Q4,2021Q4,شقة,Apartment,88.61,4.5,
2021,Q4,2021Q4,دور,Floor,91.74,2.7,
2021,Q4,2021Q4,إجمالي التجاري,Total Commercial,87.87,2.2,
2021,Q4,2021Q4,قطعة أرض تجارية,Commercial Plot,88.1,2.4,
2021,Q4,2021Q4,عمارة,Building,83.53,1.1,
2021,Q4,2021Q4,معرض / محل,Gallery/Shop,95.13,0.4,
2021,Q4,2021Q4,إجمالي الزراعي,Total Agricultural,92.31,5.5,
2021,Q4,2021Q4,أرض زراعية,Agricultural Land,92.31,5.5,
2022,Q1,2022Q1,عام,General,91.29,2.4,12.2
2022,Q1,2022Q1,إجمالي السكني,Total Residential,91.34,2.0,13.1
2022,Q1,2022Q1,قطعة أرض سكنية,Residential Plot,92.58,1.7,14.9
2022,Q1,2022Q1,فيلا,Villa,85.62,1.8,10.8
2022,Q1,2022Q1,شقة,Apartment,91.45,3.2,10.5
2022,Q1,2022Q1,دور,Floor,94.07,2.5,-0.2
2022,Q1,2022Q1,إجمالي التجاري,Total Commercial,91.13,3.7,10.0
2022,Q1,2022Q1,قطعة أرض تجارية,Commercial Plot,91.42,3.8,10.4
2022,Q1,2022Q1,عمارة,Building,86.19,3.2,7.6
2022,Q1,2022Q1,معرض / محل,Gallery/Shop,97.79,2.8,3.1
2022,Q1,2022Q1,إجمالي الزراعي,Total Agricultural,91.43,-1.0,8.3
2022,Q1,2022Q1,أرض زراعية,Agricultural Land,91.43,-1.0,8.3
2022,Q2,2022Q2,عام,General,95.56,4.7,16.5
2022,Q2,2022Q2,إجمالي السكني,Total Residential,95.65,4.7,16.1
2022,Q2,2022Q2,قطعة أرض سكنية,Residential Plot,96.42,4.1,15.3
2022,Q2,2022Q2,فيلا,Villa,92.1,7.6,22.1
2022,Q2,2022Q2,شقة,Apartment,95.73,4.7,15.4
2022,Q2,2022Q2,دور,Floor,96.95,3.1,7.5
2022,Q2,2022Q2,إجمالي التجاري,Total Commercial,95.55,4.9,18.2
2022,Q2,2022Q2,قطعة أرض تجارية,Commercial Plot,95.98,5.0,19.0
2022,Q2,2022Q2,عمارة,Building,90.3,4.8,13.6
2022,Q2,2022Q2,معرض / محل,Gallery/Shop,97.16,-0.6,2.2
2022,Q2,2022Q2,إجمالي الزراعي,Total Agricultural,92.48,1.1,6.1
2022,Q2,2022Q2,أرض زراعية,Agricultural Land,92.48,1.1,6.1
2022,Q3,2022Q3,عام,General,97.5,2.0,13.1
2022,Q3,2022Q3,إجمالي السكني,Total Residential,98.58,3.1,14.3
2022,Q3,2022Q3,قطعة أرض سكنية,Residential Plot,99.88,3.6,13.7
2022,Q3,2022Q3,فيلا,Villa,92.63,0.6,14.1
