category_ar,category_en,weight_pct,index_q2_2025,index_q1_2026,index_q2_2026,yoy_change_pct,qoq_change_pct
الرقم القياسي العام,General index,100.0,105.0,103.29,106.34,1.3,3.0
سكني,Residential,72.661,101.57,100.55,104.25,2.6,3.7
قطعة أرض سكنية,Residential Plot,45.849,101.3,101.46,107.65,6.3,6.1
فيلا,Villa,10.455,105.03,96.88,94.89,-9.7,-2.1
شقة,Apartment,14.989,100.32,100.49,101.43,1.1,0.9
دور,Floor,1.368,98.05,99.49,98.42,0.4,-1.1
تجاري,Commercial,25.404,115.69,110.81,111.96,-3.2,1.0
قطعة أرض تجارية,Commercial Plot,22.836,116.56,111.23,112.44,-3.5,1.1
عمارة,Building,2.015,110.22,109.82,109.52,-0.6,-0.3
معرض / محل,Gallery/ Shop,0.553,101.37,98.04,101.74,0.4,3.8
زراعي,Agricultural,1.935,102.63,112.79,114.23,11.3,1.3
